ngram,freq
WENT,0.0015255881124475246
UP,0.00276446476988751
KISSED,0.0002106090317647975
HAND,0.0009539350262287886
PRESENTING,1.5928414167085526e-05
BALD,0.00013981607991108406
SCENTED,8.84911898171418e-06
SHINING,4.247577111222807e-05
HEAD,0.0010034900925263881
COMPLACENTLY,7.079295185371344e-06
SEATED,5.132489009394225e-05
HIMSELF,0.0018052202722696929
SOFA,0.00012919713713302702
DEAR,0.0006831519853883347
SET,0.00027609251222948243
YOUR,0.00143532709883404
FRIENDS,0.00015220484648548392
MIND,0.000399980177973481
REST,0.0001911409700050263
ALTERING,5.309471389028509e-06
TONE,0.0002601640980623969
BENEATH,3.716629972319956e-05
POLITENESS,2.8317180741485377e-05
AFFECTED,3.362665213051389e-05
SYMPATHY,6.37136566683421e-05
