ngram,freq
WAY,-7.04615184993046
ANIMATED,-9.101495840031236
USUAL,-8.457138823640722
WRINKLES,-10.536580365320559
MOUTH,-8.900825144569085
CLEARLY,-8.73377105990592
REVEALED,-10.248898292868777
SOMETHING,-6.846035631887561
UNEXPECTEDLY,-9.255646519858495
COARSE,-10.354258808526604
UNPLEASANT,-9.460440932504508
BORN,-10.942045473428722
REPROACH,-9.843433184760613
LOOKING,-7.2581785611383305
PENSIVELY,-11.635192653988668
BANE,-13.244630566422769
CROSS,-8.967964447406713
BEAR,-9.237297381190297
EXPLAIN,-9.117496181377676
MYSELF,-8.247418292658653
HELPED,-9.689282504933354
RESIGNATION,-11.635192653988668
CRUEL,-9.877334736436294
GESTURE,-9.332607560994623
MEDITATED,-13.244630566422769
MARRYING,-9.877334736436294
PRODIGAL,-13.244630566422769
ASKED,-6.740342392886123
MAIDS,-9.877334736436294
MANIA,-12.551483385862824
MATCHMAKING,-11.858336205302878
WEAKNESS,-9.877334736436294
YET,-7.395305786475909
UNHAPPY,-10.10913635049362
RELATION,-9.332607560994623
YOURS,-9.986534028401287
PRINCESS,-6.424614201748638
MARY,-6.823008298616251
BOLKONSKAYA,-10.942045473428722
MEMORY,-9.555751112308831
PERCEPTION,-10.846735293624398
BEFITTING,-13.244630566422769
WORLD,-8.157034231190384
INDICATED,-9.877334736436294
MOVEMENT,-8.013521949568181
CONSIDERING,-9.483430450729205
INFORMATION,-10.200108128699345
EVIDENTLY,-7.386697411939309
UNABLE,-8.669919587919386
CHECK,-11.298720417367456
SAD,-8.862603931748886
CURRENT,-10.354258808526604
THOUGHTS,-8.473945941957103
COSTING,-11.858336205302878
THOUSAND,-8.114731851499695
RUBLES,-8.981950689381453
YEAR,-8.767293751944562
FIVE,-8.722841989373729
GOES,-10.10913635049362
PRESENTLY,-12.551483385862824
THATS,-7.5747496434422485
FATHERS,-8.629510049581508
RICH,-9.39448296471271
STINGY,-12.146018277754658
LIVES,-9.843433184760613
COUNTRY,-8.629510049581508
BOLKONSKI,-8.163226201438306
RETIRE,-10.153588113064453
ARMY,-6.753907031920261
UNDER,-7.341997233021402
LATE,-8.581191472310701
NICKNAMED,-11.858336205302878
CLEVER,-9.415989169933674
ECCENTRIC,-12.551483385862824
BORE,-9.94879370041844
GIRL,-8.384818162061096
BROTHER,-8.346790766471857
MARRIED,-8.954171125274378
LISE,-9.94879370041844
MEINEN,-13.244630566422769
LATELY,-10.679681208961231
AIDE,-10.10913635049362
DECAMP,-9.986534028401287
KUTUZOVS,-8.862603931748886
HERE,-7.062545659706137
LISTEN,-8.75599419669063
TAKING,-7.931424587380981
REASON,-8.40834865947129
DOWNWARDS,-10.759723916634767
ARRANGE,-9.877334736436294
AFFAIR,-8.913897226136438
MOST,-7.463887050630439
DEVOTED,-10.200108128699345
SLAFE,-13.244630566422769
F,-12.551483385862824
VILLAGE,-8.261023944714433
ELDER,-9.661111627966658
MINE,-10.025754741554568
WRITES,-10.472041844182987
REPORTS,-9.415989169933674
WANT,-7.719177627290985
FAMILIARITY,-11.298720417367456
EASY,-9.373429555514878
GRACE,-11.047405989086549
PECULIAR,-9.810643361937622
RAISED,-8.581191472310701
HONORS,-10.60557323680751
SWUNG,-11.298720417367456
FRO,-10.942045473428722
LAY,-7.956363535728233
BACK,-6.99272668325688
ARMCHAIR,-9.778894663623042
ANOTHER,-6.836101775363271
DIRECTION,-8.940565473218598
ATTENDEZ,-13.244630566422769
REFLECTING,-11.635192653988668
ILL,-7.6839489354072406
YOUNG,-7.15332068434507
BOLKONSKIS,-10.300191587256329
WIFE,-7.723169648560522
ARRANGED,-9.352810268312142
FAMILYS,-11.452871097194713
BEHALF,-10.759723916634767
START,-9.843433184760613
APPRENTICESHIP,-12.551483385862824
II,-10.411417222366552
ROOM,-6.604754732596232
GRADUALLY,-10.10913635049362
FILLING,-10.759723916634767
HIGHEST,-9.255646519858495
ASSEMBLED,-10.025754741554568
PEOPLE,-6.969868545180829
DIFFERING,-12.551483385862824
WIDELY,-11.298720417367456
AGE,-9.483430450729205
CHARACTER,-9.21927887568762
ALIKE,-10.200108128699345
CIRCLE,-9.274338652870647
BELONGED,-9.810643361937622
VASILIS,-9.877334736436294
HELENE,-8.317376881265563
WORE,-9.43796807665245
BALL,-8.508432118028272
DRESS,-8.609901578193133
BADGE,-11.858336205302878
YOUTHFUL,-10.60557323680751
FEMME,-11.635192653988668
PLUS,-12.551483385862824
SEDUISANTE,-13.244630566422769
PETERSBOURG,-13.244630566422769
DURING,-7.832984514567729
PREVIOUS,-9.607044406696383
WINTER,-9.607044406696383
PREGNANT,-11.452871097194713
GO,-6.617912817173743
LARGE,-8.108832129372507
GATHERINGS,-11.858336205302878
SMALL,-8.057244760582014
RECEPTIONS,-11.165189024742933
INTRODUCED,-10.411417222366552
MANY,-7.793592112857068
FASCINATING,-11.298720417367456
WOMAN,-8.097136089609315
EACH,-8.040623879345974
ARRIVAL,-9.255646519858495
SEEN,-7.585148350663148
AUNT,-9.43796807665245
GRAVELY,-11.858336205302878
CONDUCTED,-10.846735293624398
LADY,-8.801979309932452
BOWS,-11.298720417367456
RIBBON,-10.411417222366552
CAP,-8.82578995862617
SAILING,-11.858336205302878
SOON,-7.715201478911345
GUESTS,-8.981950689381453
BEGAN,-6.668160997374544
SLOWLY,-9.607044406696383
TURNING,-8.046133535156942
VISITOR,-9.53105849971846
NAME,-8.465507073311239
LEFT,-6.831171609255412
PERFORMED,-10.10913635049362
CEREMONY,-11.165189024742933
GREETING,-10.354258808526604
CARED,-11.165189024742933
OBSERVED,-10.354258808526604
GREETINGS,-10.942045473428722
SOLEMN,-9.581068920293122
INTEREST,-9.039937947031802
APPROVAL,-10.066576736074822
HEALTH,-9.150286004200668
THANK,-8.927142452886457
PREVENTED,-10.536580365320559
SHOWING,-9.460440932504508
IMPATIENCE,-10.942045473428722
SENSE,-8.981950689381453
RELIEF,-10.10913635049362
HAVING,-7.042095049234846
VEXATIOUS,-13.244630566422769
DUTY,-8.73377105990592
RETURN,-8.669919587919386
BROUGHT,-7.892772432946702
WORK,-8.448840020826028
GOLD,-9.506960948139401
VELVET,-10.759723916634767
BAG,-11.858336205302878
PRETTY,-8.996135324373409
UPPER,-10.354258808526604
LIP,-10.025754741554568
DELICATE,-9.810643361937622
DARK,-8.639460380434677
PERCEPTIBLE,-10.679681208961231
TEETH,-9.43796807665245
LIFTED,-9.101495840031236
SWEETLY,-11.635192653988668
ESPECIALLY,-8.310156633292078
OCCASIONALLY,-9.661111627966658
DREW,-8.526131695127674
LOWER,-9.483430450729205
CASE,-8.669919587919386
THOROUGHLY,-10.942045473428722
ATTRACTIVE,-10.300191587256329
SHORTNESS,-12.551483385862824
HALF,-8.214192645030334
OPEN,-8.535100365110434
SEEMED,-6.876443380072276
SPECIAL,-8.967964447406713
FORM,-9.237297381190297
BEAUTY,-9.150286004200668
BRIGHTENED,-10.536580365320559
SIGHT,-8.73377105990592
MOTHER,-7.941325658363692
FULL,-8.214192645030334
CARRYING,-9.483430450729205
BURDEN,-10.536580365320559
LIGHTLY,-9.748123004956287
DULL,-9.373429555514878
DISPIRITED,-12.146018277754658
COMPANY,-8.571801731960862
TALKING,-8.002883551363126
FELT,-6.79891074703719
TALKED,-8.690753674822227
SAW,-7.106903512336534
BRIGHT,-8.981950689381453
CONSTANT,-10.411417222366552
GLEAM,-11.047405989086549
WHITE,-7.96142683768478
SPECIALLY,-10.411417222366552
AMIABLE,-10.60557323680751
MOOD,-9.483430450729205
DAY,-6.934712288196252
TABLE,-7.828530164218348
QUICK,-9.53105849971846
SWAYING,-9.843433184760613
STEPS,-8.324649640594643
WORKBAG,-12.146018277754658
ARM,-8.079844592499255
GAILY,-9.633712653778543
SPREADING,-10.354258808526604
SAT,-7.401086149391409
NEAR,-7.911911773157399
SILVER,-10.025754741554568
SAMOVAR,-10.200108128699345
DOING,-8.2958706760446
PLEASURE,-8.424349000817731
HERSELF,-7.451616958038625
AROUND,-8.091338971924989
DISPLAYING,-11.635192653988668
ADDRESSING,-8.996135324373409
PRESENT,-8.40834865947129
WICKED,-11.047405989086549
TRICK,-11.047405989086549
HOSTESS,-10.300191587256329
WROTE,-8.701335784152764
QUITE,-7.315041423032874
BADLY,-9.483430450729205
DRESSED,-8.967964447406713
SPREAD,-9.150286004200668
ARMS,-8.062847016130684
SHORTWAISTED,-13.244630566422769
LACE,-11.298720417367456
TRIMMED,-11.635192653988668
DAINTY,-12.551483385862824
GRAY,-8.862603931748886
GIRDLED,-12.551483385862824
BROAD,-9.415989169933674
BELOW,-9.483430450729205
SOYEZ,-13.244630566422769
TRANQUILLE,-12.551483385862824
PRETTIER,-11.298720417367456
VOICE,-7.192541397498352
GENERAL,-7.0543151605696215
HUSBAND,-8.324649640594643
DESERTING,-13.244630566422769
GOING,-7.479439463637924
KILLED,-8.384818162061096
WRETCHED,-10.411417222366552
WAITING,-8.40834865947129
DELIGHTFUL,-10.153588113064453
NEXT,-7.9819403775178825
ARRIVALS,-11.298720417367456
STOUT,-9.39448296471271
HEAVILY,-9.912426056247565
BUILT,-10.153588113064453
CLOSECROPPED,-13.244630566422769
HAIR,-8.214192645030334
SPECTACLES,-9.581068920293122
LIGHT,-8.233995272326514
COLORED,-11.165189024742933
FASHIONABLE,-11.165189024742933
RUFFLE,-12.146018277754658
BROWN,-11.047405989086549
COAT,-8.465507073311239
ILLEGITIMATE,-11.047405989086549
BEZUKHOV,-9.274338652870647
GRANDEE,-11.858336205302878
CATHERINES,-11.165189024742933
DYING,-9.133756702249457
MOSCOW,-6.668160997374544
MILITARY,-8.491040375316404
CIVIL,-10.60557323680751
SERVICE,-8.384818162061096
